"","run","var1.pred","var1.var","observed","residual","zscore","fold","coords.x1","coords.x2"
"65","0.5_2",3.74792454926846,NA,3.6,-0.147924549268465,NA,65,332938.437,6993443.658
"66","0.5_2",3.1975495563143,NA,3,-0.197549556314297,NA,66,332919.52,6993448.636
"67","0.5_2",2.97492962373568,NA,1.2,-1.77492962373568,NA,67,332900.449,6993453.558
"68","0.5_2",2.00319013299799,NA,1,-1.00319013299799,NA,68,332881.112,6993459.032
"69","0.5_2",1.71900180849876,NA,1.75,0.0309981915012394,NA,69,332862.321,6993465.713
"70","0.5_2",1.79651428077036,NA,0,-1.79651428077036,NA,70,333005.526,6993446.035
"71","0.5_2",0.491116342972206,NA,2.05,1.55888365702779,NA,71,332999.455,6993447.978
"72","0.5_2",3.56876257924274,NA,2,-1.56876257924274,NA,72,332979.971,6993452.49
"73","0.5_2",3.74923936822036,NA,4.4,0.650760631779643,NA,73,332961.164,6993457.78
"74","0.5_2",3.99922351547302,NA,3.2,-0.799223515473015,NA,74,332942.4,6993462.425
"75","0.5_2",2.97517789539116,NA,2.8,-0.175177895391165,NA,75,332922.59,6993467.475
"76","0.5_2",1.99833069362979,NA,2.95,0.951669306370211,NA,76,332903.677,6993472.764
"77","0.5_2",1.79134793053251,NA,2.25,0.458652069467492,NA,77,332883.774,6993477.795
"78","0.5_2",1.77448317880639,NA,2.4,0.625516821193614,NA,78,332864.707,6993483.444
"79","0.5_2",1.42505057935663,NA,0.65,-0.775050579356634,NA,79,333005.771,6993466.584
"80","0.5_2",2.82485047627855,NA,2.95,0.125149523721455,NA,80,332986.665,6993471.575
"81","0.5_2",2.2760364357576,NA,2.65,0.3739635642424,NA,81,332967.932,6993476.518
"82","0.5_2",2.29849378926222,NA,2.95,0.651506210737782,NA,82,332948.425,6993481.493
"83","0.5_2",2.05026287132209,NA,2.8,0.749737128677915,NA,83,332929.181,6993486.454
"84","0.5_2",2.12556267322107,NA,2.95,0.824437326778926,NA,84,332910.146,6993491.432
"85","0.5_2",2.02345310226882,NA,2.6,0.576546897731181,NA,85,332890.934,6993496.243
"86","0.5_2",2.50023446033911,NA,1.8,-0.700234460339107,NA,86,332872.36,6993501.307
"87","0.5_2",0.39914537172089,NA,0.8,0.40085462827911,NA,87,333011.603,6993485.354
"88","0.5_2",2.16306202024473,NA,3,0.836937979755267,NA,88,332992.414,6993490.146
"89","0.5_2",2.22588854118515,NA,1.6,-0.625888541185148,NA,89,332973.303,6993495.257
"90","0.5_2",1.41267077237584,NA,1.8,0.387329227624155,NA,90,332954.286,6993500.233
"91","0.5_2",1.85666470990407,NA,1.15,-0.706664709904071,NA,91,332935.197,6993505.211
"92","0.5_2",1.94719782946939,NA,1.45,-0.497197829469392,NA,92,332916.086,6993510.258
"93","0.5_2",1.35863282282509,NA,0.65,-0.708632822825086,NA,93,332896.901,6993515.355
"94","0.5_2",1.09936041201957,NA,1.8,0.70063958798043,NA,94,332878.054,6993520.313
"95","0.5_2",1.8,NA,1.55,-0.25,NA,95,332859.221,6993525.74
"96","0.5_2",0.8,NA,0,-0.8,NA,96,333013.72,6993504.711
"97","0.5_2",0.368611921476775,NA,0.8,0.431388078523225,NA,97,333011.456,6993504.993
"98","0.5_2",1.89365460701802,NA,1.4,-0.493654607018023,NA,98,332993.915,6993508.363
"99","0.5_2",1.41561583706966,NA,0,-1.41561583706966,NA,99,332955.729,6993516.75
"100","0.5_2",0.600377672617976,NA,1,0.399622327382024,NA,100,332936.903,6993521.366
"101","0.5_2",1.21236385127215,NA,1.05,-0.162363851272147,NA,101,332917.427,6993526.003
"102","0.5_2",0.842881542215097,NA,0.95,0.107118457784903,NA,102,332899.095,6993531.915
"103","0.5_2",1.0250672360131,NA,0.45,-0.575067236013102,NA,103,332874.43,6993310.218
"104","0.5_2",0.693809260323917,NA,1,0.306190739676083,NA,104,332893.395,6993303.912
"105","0.5_4",1.17234479537853,NA,1.2,0.0276552046214686,NA,1,333018.618,6993304.537
"106","0.5_4",1.71340487451382,NA,1.2,-0.513404874513824,NA,2,333009.211,6993305.666
"107","0.5_4",2.09697478261728,NA,2.7,0.603025217382724,NA,3,332999.395,6993306.897
"108","0.5_4",2.71861558822454,NA,2.75,0.0313844117754587,NA,4,332991.182,6993308.631
"109","0.5_4",2.94221050993532,NA,3.2,0.257789490064685,NA,5,332982.212,6993310.261
"110","0.5_4",2.83424618425301,NA,3.6,0.765753815746995,NA,6,332972.505,6993312.05
"111","0.5_4",2.99807686335489,NA,2.55,-0.448076863354887,NA,7,332962.585,6993313.789
"112","0.5_4",2.55799924980386,NA,2.8,0.24200075019614,NA,8,332951.98,6993315.167
"113","0.5_4",2.31529534779793,NA,2.2,-0.115295347797929,NA,9,332941.866,6993316.964
"114","0.5_4",1.92567573136008,NA,2.05,0.124324268639919,NA,10,332932.859,6993319.772
"115","0.5_4",1.49087818148014,NA,1.8,0.309121818519862,NA,11,332922.7,6993321.48
"116","0.5_4",1.408831678213,NA,0.8,-0.608831678213005,NA,12,332912.373,6993322.869
"117","0.5_4",1.04310922909494,NA,0.95,-0.0931092290949416,NA,13,332902.534,6993323.998
"118","0.5_4",0.9102739648653,NA,0.9,-0.0102739648653,NA,14,332893.525,6993326.322
"119","0.5_4",0.913017622118818,NA,0.85,-0.0630176221188182,NA,15,332883.506,6993328.271
"120","0.5_4",0.732929674487558,NA,1.05,0.317070325512442,NA,16,332873.585,6993329.972
"121","0.5_4",1.0216593815464,NA,0.7,-0.321659381546404,NA,17,332863.701,6993331.885
"122","0.5_4",1.11985240976538,NA,0,-1.11985240976538,NA,18,333015.369,6993324.023
"123","0.5_4",1.68656062899919,NA,1.55,-0.136560628999186,NA,19,332995.003,6993328.256
"124","0.5_4",1.25744698320623,NA,0.7,-0.557446983206226,NA,20,333005.523,6993327.185
"125","0.5_4",2.77459233548224,NA,3.6,0.825407664517763,NA,21,332976.327,6993333.194
"126","0.5_4",3.26995986296273,NA,3.5,0.230040137037268,NA,22,332956.873,6993337.775
"127","0.5_4",2.75468198707831,NA,3.05,0.295318012921689,NA,23,332937.844,6993340.94
"128","0.5_4",1.73422720459444,NA,1.75,0.01577279540556,NA,24,332918.199,6993343.59
"129","0.5_4",1.38768745677289,NA,1.25,-0.137687456772889,NA,25,332899.339,6993350.54
"130","0.5_4",1.34484872084542,NA,1.5,0.155151279154577,NA,26,332879.755,6993353.055
"131","0.5_4",1.2377047382662,NA,1.75,0.512295261733803,NA,27,332860.509,6993356.709
"132","0.5_4",1.9001161304442,NA,1.6,-0.300116130444196,NA,28,332865.94,6993375.153
"133","0.5_4",1.90968124190111,NA,1.3,-0.609681241901109,NA,29,332885.685,6993372.82
"134","0.5_4",2.38549182033152,NA,1.35,-1.03549182033152,NA,30,332905.726,6993369.789
"135","0.5_4",2.44842715012267,NA,3.8,1.35157284987733,NA,31,332924.816,6993365.195
"136","0.5_4",3.18631516371479,NA,3.7,0.513684836285207,NA,32,332943.75,6993360.927
"137","0.5_4",2.988603171013,NA,3.6,0.611396828987003,NA,33,332961.958,6993357.022
"138","0.5_4",3.07918161978595,NA,2.5,-0.579181619785952,NA,34,332981.786,6993352.227
"139","0.5_4",1.70926007072691,NA,3.65,1.94073992927309,NA,35,332995.24,6993349.607
"140","0.5_4",2.43026442872013,NA,1.35,-1.08026442872013,NA,36,333001.556,6993349.122
"141","0.5_4",2.09890344363586,NA,1.1,-0.998903443635865,NA,37,333008.536,6993367.262
"142","0.5_4",2.41216825072409,NA,1.55,-0.862168250724088,NA,38,332998.326,6993368.525
"143","0.5_4",1.96442586967285,NA,4.05,2.08557413032715,NA,39,332978.99,6993373.792
"144","0.5_4",2.87700337132469,NA,2.2,-0.677003371324686,NA,40,332959.235,6993378.042
"145","0.5_4",2.87752445315673,NA,1.9,-0.977524453156733,NA,41,332940.802,6993384.692
"146","0.5_4",2.44547708181132,NA,3,0.554522918188676,NA,42,332922.183,6993389.868
"147","0.5_4",2.56411325990912,NA,3.25,0.685886740090877,NA,43,332903.15,6993394.332
"148","0.5_4",2.52678436686722,NA,3.35,0.823215633132777,NA,44,332883.801,6993398.48
"149","0.5_4",2.3926035824458,NA,3.2,0.807396417554196,NA,45,332864.88,6993402.784
"150","0.5_4",1.09185301399626,NA,2.15,1.05814698600374,NA,46,333003.574,6993387.984
"151","0.5_4",1.71162056551785,NA,0.5,-1.21162056551785,NA,47,333009.572,6993390.618
"152","0.5_4",2.36380441570282,NA,1.65,-0.713804415702825,NA,48,332984.569,6993390.617
"153","0.5_4",2.43409356236812,NA,2.05,-0.384093562368122,NA,49,332965.091,6993394.611
"154","0.5_4",2.13576058410192,NA,2.7,0.564239415898076,NA,50,332946.726,6993400.776
"155","0.5_4",2.78324937233596,NA,2.2,-0.583249372335957,NA,51,332928.236,6993406.189
"156","0.5_4",2.51225277647239,NA,2.45,-0.0622527764723855,NA,52,332908.278,6993407.02
"157","0.5_4",2.47070571046169,NA,2.2,-0.27070571046169,NA,53,332890.86,6993416.915
"158","0.5_4",2.30014411900143,NA,2.25,-0.0501441190014273,NA,54,332871.585,6993422.576
"159","0.5_4",2.08657176734751,NA,1.1,-0.98657176734751,NA,55,332990.844,6993409.799
"160","0.5_4",2.07141196041436,NA,3.2,1.12858803958564,NA,56,332971.477,6993413.562
"161","0.5_4",3.27354281671992,NA,2.4,-0.873542816719924,NA,57,332952.84,6993418.008
"162","0.5_4",2.58671083088449,NA,2.95,0.36328916911551,NA,58,332932.973,6993421.56
"163","0.5_4",2.38935110609596,NA,2.25,-0.139351106095959,NA,59,332912.909,6993425.689
"164","0.5_4",2.16322033112137,NA,1.95,-0.213220331121373,NA,60,332893.559,6993429.702
"165","0.5_4",1.89663335734733,NA,1.95,0.0533666426526658,NA,61,332874.126,6993434.165
"166","0.5_4",1.47445424092663,NA,1.35,-0.12445424092663,NA,62,332995.759,6993428.836
"167","0.5_4",2.70658386987484,NA,2.75,0.0434161301251645,NA,63,332976.461,6993433.863
"168","0.5_4",3.29818673093727,NA,4.3,1.00181326906273,NA,64,332957.277,6993438.735
"169","0.5_4",3.3702782742323,NA,3.6,0.229721725767701,NA,65,332938.437,6993443.658
"170","0.5_4",2.46982433450548,NA,3,0.530175665494524,NA,66,332919.52,6993448.636
"171","0.5_4",2.23695385799252,NA,1.2,-1.03695385799252,NA,67,332900.449,6993453.558
"172","0.5_4",1.78608813148744,NA,1,-0.786088131487438,NA,68,332881.112,6993459.032
"173","0.5_4",1.89500087709019,NA,1.75,-0.145000877090186,NA,69,332862.321,6993465.713
"174","0.5_4",1.59070981447811,NA,0,-1.59070981447811,NA,70,333005.526,6993446.035
"175","0.5_4",0.839367309807714,NA,2.05,1.21063269019229,NA,71,332999.455,6993447.978
"176","0.5_4",3.03966060763516,NA,2,-1.03966060763516,NA,72,332979.971,6993452.49
"177","0.5_4",3.03946473309648,NA,4.4,1.36053526690352,NA,73,332961.164,6993457.78
"178","0.5_4",3.44417473890708,NA,3.2,-0.244174738907083,NA,74,332942.4,6993462.425
"179","0.5_4",2.98701700826928,NA,2.8,-0.187017008269278,NA,75,332922.59,6993467.475
"180","0.5_4",2.29862900314666,NA,2.95,0.651370996853339,NA,76,332903.677,6993472.764
"181","0.5_4",2.22739732959177,NA,2.25,0.0226026704082254,NA,77,332883.774,6993477.795
"182","0.5_4",2.07180007831595,NA,2.4,0.328199921684047,NA,78,332864.707,6993483.444
"183","0.5_4",1.45717763202876,NA,0.65,-0.807177632028762,NA,79,333005.771,6993466.584
"184","0.5_4",2.07841170075829,NA,2.95,0.871588299241715,NA,80,332986.665,6993471.575
"185","0.5_4",2.97119904429353,NA,2.65,-0.321199044293526,NA,81,332967.932,6993476.518
"186","0.5_4",2.61075436378858,NA,2.95,0.339245636211416,NA,82,332948.425,6993481.493
"187","0.5_4",2.46120018607127,NA,2.8,0.338799813928731,NA,83,332929.181,6993486.454
"188","0.5_4",2.45003373868179,NA,2.95,0.499966261318215,NA,84,332910.146,6993491.432
"189","0.5_4",1.91384271431476,NA,2.6,0.686157285685236,NA,85,332890.934,6993496.243
"190","0.5_4",2.26459481248395,NA,1.8,-0.464594812483947,NA,86,332872.36,6993501.307
"191","0.5_4",1.10969713159409,NA,0.8,-0.309697131594086,NA,87,333011.603,6993485.354
"192","0.5_4",1.68734446024608,NA,3,1.31265553975392,NA,88,332992.414,6993490.146
"193","0.5_4",2.23377877768423,NA,1.6,-0.633778777684226,NA,89,332973.303,6993495.257
"194","0.5_4",1.39435359360415,NA,1.8,0.405646406395853,NA,90,332954.286,6993500.233
"195","0.5_4",1.74380307888105,NA,1.15,-0.59380307888105,NA,91,332935.197,6993505.211
"196","0.5_4",1.43914110591875,NA,1.45,0.0108588940812455,NA,92,332916.086,6993510.258
"197","0.5_4",1.68278207061448,NA,0.65,-1.03278207061448,NA,93,332896.901,6993515.355
"198","0.5_4",1.24333054431588,NA,1.8,0.556669455684119,NA,94,332878.054,6993520.313
"199","0.5_4",1.36656501043199,NA,1.55,0.183434989568015,NA,95,332859.221,6993525.74
"200","0.5_4",1.23318430890526,NA,0,-1.23318430890526,NA,96,333013.72,6993504.711
"201","0.5_4",0.84521794985009,NA,0.8,-0.0452179498500901,NA,97,333011.456,6993504.993
"202","0.5_4",1.35619987993702,NA,1.4,0.0438001200629778,NA,98,332993.915,6993508.363
"203","0.5_4",1.39289115997486,NA,0,-1.39289115997486,NA,99,332955.729,6993516.75
