Kolonne1;run;power;nn;RMSE;cor;ME;MAE;run2;;Verdier;
;0.5_14;0.5;14;0.829803114;0.631256343;-0.099464793;0.671057804;2;;;
6;0.5_15;0.5;15;0.834123706;0.634187934;-0.105756089;0.672169309;6;;;
82;2_50;2;50;0.819345495;0.63332017;-0.04023222;0.672712498;82;;;
83;2_55;2;55;0.821452002;0.631995982;-0.039333739;0.674911559;83;;;
84;2_60;2;60;0.823199592;0.630857077;-0.037326252;0.676115317;84;;;
85;2_65;2;65;0.825116608;0.629464639;-0.03648372;0.677901909;85;;;
86;2_70;2;70;0.825569231;0.630149681;-0.035496703;0.678169869;86;;;
88;2_80;2;80;0.827200685;0.630163032;-0.031561405;0.678875998;88;;;
87;2_75;2;75;0.826533844;0.630033527;-0.033751793;0.678993954;87;;;
89;2_85;2;85;0.828155079;0.629566015;-0.029064956;0.679681408;89;;;
90;2_90;2;90;0.828830343;0.62942156;-0.02632531;0.679710778;90;;;
91;2_95;2;95;0.829733674;0.628760023;-0.023118719;0.679867381;91;;;
92;2_100;2;100;0.830555999;0.628076431;-0.019374149;0.679997848;92;;;
30;1_20;1;20;0.830517951;0.644622666;-0.099660898;0.68252314;30;;;
31;1_25;1;25;0.855402211;0.633790764;-0.112155989;0.709377558;31;;;
7;0.5_20;0.5;20;0.878289637;0.595895324;-0.137448162;0.727880543;7;;;
32;1_30;1;30;0.881007154;0.612473522;-0.12664881;0.731724632;32;;;
33;1_35;1;35;0.899882097;0.592560943;-0.131039345;0.752534636;33;;;
8;0.5_25;0.5;25;0.912954811;0.57060099;-0.154493168;0.762650781;8;;;
34;1_40;1;40;0.913372376;0.57695192;-0.127917311;0.768509211;34;;;
35;1_45;1;45;0.922251536;0.57218453;-0.127262194;0.77555669;35;;;
36;1_50;1;50;0.93017193;0.559433837;-0.123386521;0.782228167;36;;;
38;1_60;1;60;0.936944165;0.562088491;-0.115824738;0.786893258;38;;;
37;1_55;1;55;0.93472395;0.557651488;-0.120866192;0.7870391;37;;;
39;1_65;1;65;0.941410404;0.564184731;-0.114981166;0.791881967;39;;;
40;1_70;1;70;0.942017202;0.580800027;-0.11366442;0.792304957;40;;;
9;0.5_30;0.5;30;0.947423581;0.52020398;-0.172403748;0.792863604;9;;;
42;1_80;1;80;0.946182698;0.592514527;-0.103217506;0.793262115;42;;;
41;1_75;1;75;0.944701045;0.586936626;-0.109223402;0.794390259;41;;;
46;1_100;1;100;0.951349277;0.600724002;-0.059446324;0.794873029;46;;;
45;1_95;1;95;0.950467897;0.601991372;-0.074194542;0.794965947;45;;;
44;1_90;1;90;0.949099121;0.600481256;-0.086145732;0.79511826;44;;;
43;1_85;1;85;0.948157221;0.593425585;-0.095244952;0.79519796;43;;;
10;0.5_35;0.5;35;0.971707468;0.462391022;-0.176421643;0.817757937;10;;;
11;0.5_40;0.5;40;0.9870094;0.411769055;-0.169562571;0.837465972;11;;;
12;0.5_45;0.5;45;0.996343025;0.383989081;-0.166266935;0.843489091;12;;;
23;0.5_100;0.5;100;1.01175147;0.499070344;-0.053268356;0.849088382;23;;;
22;0.5_95;0.5;95;1.012357438;0.476238717;-0.077820603;0.849414931;22;;;
13;0.5_50;0.5;50;1.00369754;0.346847644;-0.15899616;0.850294191;13;;;
15;0.5_60;0.5;60;1.005903625;0.356317693;-0.145109444;0.850461701;15;;;
21;0.5_90;0.5;90;1.012183325;0.450191602;-0.097559549;0.850532931;21;;;
19;0.5_80;0.5;80;1.011594873;0.426320345;-0.125195699;0.850686149;19;;;
17;0.5_70;0.5;70;1.009119054;0.406089364;-0.141756033;0.851228059;17;;;
20;0.5_85;0.5;85;1.012721769;0.415063224;-0.112267088;0.851524831;20;;;
18;0.5_75;0.5;75;1.011340026;0.415673254;-0.134609741;0.851819321;18;;;
16;0.5_65;0.5;65;1.010071732;0.358209852;-0.143737769;0.853302974;16;;;
14;0.5_55;0.5;55;1.006549758;0.340430605;-0.15359068;0.854062609;14;;;
