"","run","power","nn","volume"
"Min.","276",0.5,2,76715.5477973224
"1st Qu.","character",1.875,15,76719.4451858755
"Median","character",3.25,45,76720.9771411679
"Mean","276",3.25,46.304347826087,76778.4879503883
"3rd Qu.","character",4.625,75,76733.9
"Max.","character",6,100,78420.2345056355
