"","x","y","var1.pred","var1.var"
"108",332908.2411,6993535.178,0.99224129449322,NA
"109",332909.2411,6993535.178,1.00779482283046,NA
"110",332910.2411,6993535.178,1.02303679353178,NA
"111",332911.2411,6993535.178,1.03589456378046,NA
"112",332912.2411,6993535.178,1.04535752397963,NA
"113",332913.2411,6993535.178,1.05158985802043,NA
"114",332914.2411,6993535.178,1.0553912378008,NA
"115",332915.2411,6993535.178,1.05765090285848,NA
"116",332916.2411,6993535.178,1.05908246059461,NA
"117",332917.2411,6993535.178,1.06017807363713,NA
"118",332918.2411,6993535.178,1.0612522219349,NA
"119",332919.2411,6993535.178,1.06249695762846,NA
"120",332920.2411,6993535.178,1.06401981265589,NA
"121",332921.2411,6993535.178,1.0658593976068,NA
"122",332922.2411,6993535.178,1.06798238016968,NA
"123",332923.2411,6993535.178,1.07026913312197,NA
"124",332924.2411,6993535.178,1.0724989293583,NA
"125",332925.2411,6993535.178,1.0743498992538,NA
"126",332926.2411,6993535.178,1.07543067276213,NA
"127",332927.2411,6993535.178,1.07535292840108,NA
"128",332928.2411,6993535.178,1.07383252510687,NA
"129",332929.2411,6993535.178,1.07078001157681,NA
"130",332930.2411,6993535.178,1.06633256305494,NA
"131",332931.2411,6993535.178,1.06080571647586,NA
"132",332932.2411,6993535.178,1.0545886496191,NA
"133",332933.2411,6993535.178,1.04803329786174,NA
"134",332934.2411,6993535.178,1.04137750355552,NA
"135",332935.2411,6993535.178,1.03471302014384,NA
"136",332936.2411,6993535.178,1.0279866003353,NA
"137",332937.2411,6993535.178,1.02101633136236,NA
"138",332938.2411,6993535.178,1.01351047022205,NA
"139",332939.2411,6993535.178,1.00508406974983,NA
"140",332940.2411,6993535.178,0.995275188451391,NA
"141",332941.2411,6993535.178,0.983566379678733,NA
"142",332942.2411,6993535.178,0.969418559448693,NA
"143",332943.2411,6993535.178,0.952323116854525,NA
"144",332944.2411,6993535.178,0.931873731385391,NA
"145",332945.2411,6993535.178,0.90785168314982,NA
