"","run","power","nn","RMSE","cor","ME","MAE","run2"
"Min.","276",0.5,2,0.709014864971163,0.340430604998009,-0.176421642604896,0.554246478149005,"1"
"1st Qu.","character",1.875,15,0.776711478494948,0.63933843506382,-0.0357434569324442,0.587406703114041,"69.75"
"Median","character",3.25,45,0.779910421355917,0.660794997762811,0.00661083668833456,0.590620745405882,"138.5"
"Mean","276",3.25,46.304347826087,0.807244302541999,0.641560093262726,-0.0165760302599198,0.63294690000058,"138.5"
"3rd Qu.","character",4.625,75,0.816584169266323,0.665514889422914,0.0190124026585313,0.644146173246997,"207.25"
"Max.","character",6,100,1.01272176931612,0.728538200973368,0.0218291828265785,0.854062609163386,"276"
