"","run","var1.pred","var1.var","observed","residual","zscore","fold","coords.x1","coords.x2"
"63","1_1",0.36,NA,0.75,0.39,NA,63,-25105.473702523,6859370.09195859
"64","1_1",1.07,NA,0.31,-0.76,NA,64,-25101.1794112041,6859390.35258165
"65","1_1",1.02,NA,1.07,0.05,NA,65,-25083.755348267,6859380.67101964
"66","1_1",1.07,NA,1.02,-0.05,NA,66,-25068.0955025597,6859384.15052271
"67","1_1",1.02,NA,0.54,-0.48,NA,67,-25044.1885929066,6859387.15753791
"68","1_1",0.75,NA,0.36,-0.39,NA,68,-25090.6418498525,6859361.82542003
"69","1_1",1.06,NA,0.52,-0.54,NA,69,-25100.6584503207,6859346.17343104
"70","1_2",1.80229976192903,NA,1.92,0.117700238070968,NA,1,-25280.1736794519,6859376.52279135
"71","1_2",1.11243226814259,NA,1.52,0.407567731857406,NA,2,-25279.216706126,6859396.5036215
"72","1_2",0.790998527347925,NA,0.38,-0.410998527347925,NA,3,-25278.1241740288,6859417.3682769
"73","1_2",0.945674764591534,NA,1.08,0.134325235408466,NA,4,-25275.1842312092,6859437.9496435
"74","1_2",0.707236995739121,NA,0.67,-0.0372369957391212,NA,5,-25277.5674292982,6859457.99037469
"75","1_2",0.950018054558843,NA,0.32,-0.630018054558843,NA,6,-25298.3283242715,6859455.06791894
"76","1_2",0.701235461595252,NA,1.22,0.518764538404748,NA,7,-25295.0668296764,6859435.11861719
"77","1_2",0.472950303699472,NA,0.57,0.0970496963005284,NA,8,-25293.7523458396,6859414.45021317
"78","1_2",1.14702093884224,NA,0.59,-0.557020938842235,NA,9,-25292.0025160508,6859394.50659241
"79","1_2",1.48219281543996,NA,1.88,0.397807184560041,NA,10,-25289.9509099945,6859374.06439918
"80","1_2",1.62208429981737,NA,1.65,0.0279157001826269,NA,11,-25278.1089421393,6859356.87014427
"81","1_2",1.02037599309561,NA,1.33,0.309624006904388,NA,12,-25278.6474936422,6859337.50361731
"82","1_2",0.839439059979046,NA,0.37,-0.469439059979046,NA,13,-25281.2048280087,6859317.65511798
"83","1_2",0.475474444606633,NA,0.56,0.0845255553933671,NA,14,-25280.6819560147,6859306.26732239
"84","1_2",0.630904046335962,NA,0.4,-0.230904046335962,NA,15,-25261.2393738661,6859291.07386826
"85","1_2",0.947091383871169,NA,0.69,-0.257091383871169,NA,16,-25258.069643539,6859311.3938384
"86","1_2",1.45196945812712,NA,1.48,0.0280305418728808,NA,17,-25251.9570199798,6859330.47103606
"87","1_2",1.93782965231669,NA,2.23,0.292170347683314,NA,18,-25253.6394649175,6859350.85654509
"88","1_2",1.96743241330955,NA,2.4,0.432567586690449,NA,19,-25253.3369496884,6859371.50308014
"89","1_2",2.07403009734912,NA,1.72,-0.354030097349116,NA,20,-25251.022755014,6859390.82347272
"90","1_2",1.8768136807854,NA,1.75,-0.126813680785401,NA,21,-25245.9977279053,6859409.50204824
"91","1_2",1.92072938559622,NA,0.48,-1.44072938559622,NA,22,-25225.0557506843,6859420.65163302
"92","1_2",1.36572605547162,NA,2.06,0.694273944528378,NA,23,-25224.9437951067,6859401.29848039
"93","1_2",1.45836596920368,NA,2.22,0.761634030796315,NA,24,-25227.6143322031,6859382.82426704
"94","1_2",2.16549723468881,NA,0.86,-1.30549723468881,NA,25,-25229.7928732454,6859364.38769309
"95","1_2",1.35402373463499,NA,2.11,0.755976265365013,NA,26,-25229.6658600895,6859345.48454124
"96","1_2",1.51032643200657,NA,1.88,0.369673567993434,NA,27,-25230.5338398112,6859325.37703989
"97","1_2",1.22271273788028,NA,0.94,-0.282712737880275,NA,28,-25228.2615062564,6859306.3711182
"98","1_2",0.68633672632795,NA,0.54,-0.14633672632795,NA,29,-25228.3923931231,6859286.48983871
"99","1_2",0.435495889371759,NA,0.45,0.0145041106282406,NA,30,-25228.5311171194,6859267.96667413
"100","1_2",0.481968551177638,NA,0.37,-0.111968551177638,NA,31,-25216.951136152,6859268.79197953
"101","1_2",0.569851071196281,NA,0.94,0.370148928803719,NA,32,-25199.0729038136,6859283.9169239
"102","1_2",0.663470014365269,NA,0.74,0.0765299856347309,NA,33,-25191.3392704617,6859302.29334053
"103","1_2",0.512477566839146,NA,0.38,-0.132477566839146,NA,34,-25186.3035844427,6859322.1010684
"104","1_2",0.850969575380785,NA,0.28,-0.570969575380785,NA,35,-25178.1178308248,6859341.31277972
"105","1_2",1.67170051455594,NA,1.62,-0.051700514555941,NA,36,-25169.750930662,6859359.59212015
"106","1_2",1.52912268121058,NA,1,-0.529122681210578,NA,37,-25161.6838476773,6859378.03050637
"107","1_2",0.673676649306984,NA,0.58,-0.0936766493069844,NA,38,-25155.7261600571,6859396.45305655
"108","1_2",1.09786463521152,NA,0.46,-0.637864635211521,NA,39,-25183.2090774062,6859400.77958134
"109","1_2",0.508226987994396,NA,0.57,0.0617730120056038,NA,40,-25176.0660194027,6859420.94266527
"110","1_2",0.663843306012501,NA,1.63,0.966156693987499,NA,41,-25195.97593388,6859383.40101346
"111","1_2",2.21268956244796,NA,0.85,-1.36268956244796,NA,42,-25201.9846537038,6859364.64708425
"112","1_2",1.44546043403934,NA,2.82,1.37453956596066,NA,43,-25206.7734744295,6859344.68843988
"113","1_2",0.897546643794868,NA,0.53,-0.367546643794868,NA,44,-25182.0761040789,6859266.15900789
"114","1_2",1.07327075745719,NA,0.86,-0.213270757457194,NA,45,-25171.9920827579,6859285.41894994
"115","1_2",0.795005959073993,NA,1.59,0.794994040926007,NA,46,-25169.0170775146,6859305.88182585
"116","1_2",0.621274644532781,NA,0.73,0.108725355467219,NA,47,-25165.46144164,6859326.25568723
"117","1_2",0.965670600395635,NA,0.96,-0.00567060039563549,NA,48,-25160.8253062585,6859345.22007078
"118","1_2",1.30324894021858,NA,2.22,0.916751059781422,NA,49,-25158.3970367096,6859365.9929144
"119","1_2",0.797035851191786,NA,0.76,-0.0370358511917855,NA,50,-25148.8292407929,6859383.29664277
"120","1_2",0.821198027427548,NA,0.59,-0.231198027427548,NA,51,-25143.1453966177,6859403.457313
"121","1_2",0.716435754137627,NA,1.13,0.413564245862373,NA,52,-25124.8337287663,6859401.3285594
"122","1_2",0.947798388322732,NA,0.85,-0.0977983883227321,NA,53,-25128.7835191356,6859382.25895523
"123","1_2",0.687019527835336,NA,2.31,1.62298047216466,NA,54,-25133.4683342887,6859362.6235773
"124","1_2",1.61706353128983,NA,0.53,-1.08706353128983,NA,55,-25136.5208192599,6859343.41641628
"125","1_2",0.555042292554116,NA,0.94,0.384957707445884,NA,56,-25139.1360679435,6859324.59452851
"126","1_2",0.745192542243976,NA,0.58,-0.165192542243976,NA,57,-25138.7973671309,6859305.65903278
"127","1_2",0.451744706397375,NA,0.54,0.0882552936026254,NA,58,-25138.5054821696,6859285.71304075
"128","1_2",0.423415844239503,NA,0.32,-0.103415844239503,NA,59,-25120.0642702932,6859294.64594128
