Kolonne1;run;power;nn;RMSE;cor;ME;MAE;run2
78;4_25;4;25;0.531573775;0.390236373;-0.026310099;0.427697715;78
85;4_60;4;60;0.531370324;0.390229137;-0.02645379;0.427552552;85
79;4_30;4;30;0.53149359;0.39021988;-0.026347246;0.427633674;79
71;4_6;4;6;0.536266453;0.388722382;-0.025855001;0.429500885;71
16;0.5_55;0.5;55;0.509329232;0.386114177;0.001653521;0.416059788;16
70;4_4;4;4;0.542852637;0.378294239;-0.024718514;0.434503491;70
35;2_2;2;2;0.553237068;0.369838533;-0.013023981;0.435637706;35
18;1_2;1;2;0.550445447;0.367735248;-0.008888377;0.432624334;18
17;0.5_60;0.5;60;0.51412476;0.366633876;-0.004583143;0.420225983;17
52;3_2;3;2;0.560845842;0.365112478;-0.017600088;0.439284289;52
1;0.5_2;0.5;2;0.552829324;0.361641894;-0.007256575;0.431374728;1
69;4_2;4;2;0.568900416;0.359326152;-0.021844213;0.442600932;69
