;GEILO_TO_;GEILO_TO_I;OPPR;KOORDH;XML_TYPE;Dybde;GML_ID;GML_GEOMET;MALEMETODE;NOYAKTIGHE;SYNBARHET;H_MALEMETO;H_NOYAKTIG;MAX_AVVIK;AJOUR;OBJTYPE;x;y
133;0;0;3;790.56;xml_point;0.6;myr_djupn.132;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456544.71;6710027.33
134;0;0;3;790.08;xml_point;0.5;myr_djupn.133;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456536.64;6710032.95
135;0;0;3;789.6;xml_point;0.8;myr_djupn.134;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456535.21;6710026.28
136;0;0;3;789.84;xml_point;0.7;myr_djupn.135;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456532.77;6710018.58
137;0;0;3;790.56;xml_point;0.5;myr_djupn.136;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456536.24;6710011.1
138;0;0;3;788.88;xml_point;0.7;myr_djupn.137;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456532.09;6710008.53
139;0;0;3;788.64;xml_point;0.5;myr_djupn.138;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456520.16;6710011.58
140;0;0;3;788.16;xml_point;0.6;myr_djupn.139;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456520.37;6710013.45
141;0;0;3;789.36;xml_point;0.9;myr_djupn.140;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456523.27;6710024.52
142;0;0;3;788.64;xml_point;0.7;myr_djupn.141;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456520.16;6710031.85
143;0;0;3;787.92;xml_point;0.4;myr_djupn.142;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456511.43;6709994.99
144;0;0;3;787.92;xml_point;0.4;myr_djupn.143;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456514.84;6709983.84
145;0;0;3;788.4;xml_point;0.6;myr_djupn.144;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456505.09;6709973.23
146;0;0;3;0;xml_point;0.7;myr_djupn.145;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456388;6709909
147;0;0;3;0;xml_point;0.7;myr_djupn.146;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456390;6709896
148;0;0;3;0;xml_point;0.7;myr_djupn.147;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456397;6709881
149;0;0;3;0;xml_point;0.6;myr_djupn.148;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456381;6709889
150;0;0;3;0;xml_point;0.5;myr_djupn.149;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456346;6709851
151;0;0;3;0;xml_point;0.6;myr_djupn.150;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;456320;6709849
