"x","y","var1.pred","var1.var"
-25361.2,6859205,82.5015958724154,NA
-25360.2,6859205,82.4110399204422,NA
-25359.2,6859205,82.319735537977,NA
-25358.2,6859205,82.227684182403,NA
-25357.2,6859205,82.1348875113209,NA
-25356.2,6859205,82.0413473806476,NA
-25355.2,6859205,81.9470658421707,NA
-25354.2,6859205,81.8520451405346,NA
-25353.2,6859205,81.7562877096326,NA
-25352.2,6859205,81.6597961683844,NA
-25351.2,6859205,81.5625733158746,NA
-25350.2,6859205,81.4646221258328,NA
-25349.2,6859205,81.3659457404351,NA
-25348.2,6859205,81.2665474634058,NA
-25347.2,6859205,81.1664307524072,NA
-25346.2,6859205,81.0655992106976,NA
-25345.2,6859205,80.9640565780481,NA
-25344.2,6859205,80.8618067209061,NA
-25343.2,6859205,80.7588536217975,NA
-25342.2,6859205,80.6552013679655,NA
-25341.2,6859205,80.5508541392404,NA
-25340.2,6859205,80.445816195147,NA
-25339.2,6859205,80.3400918612527,NA
-25338.2,6859205,80.2336855147691,NA
-25337.2,6859205,80.126601569422,NA
-25336.2,6859205,80.0188444596084,NA
-25335.2,6859205,79.91041862387,NA
-25334.2,6859205,79.8013284877121,NA
-25333.2,6859205,79.6915784458068,NA
-25332.2,6859205,79.581172843625,NA
-25331.2,6859205,79.47011595855,NA
-25330.2,6859205,79.3584119805292,NA
-25329.2,6859205,79.2460649923327,NA
-25328.2,6859205,79.1330789494931,NA
-25327.2,6859205,79.0194576600081,NA
-25326.2,6859205,78.9052047639003,NA
-25325.2,6859205,78.7903237127323,NA
-25324.2,6859205,78.6748177491888,NA
-25323.2,6859205,78.5586898868458,NA
-25322.2,6859205,78.4419428902537,NA
-25321.2,6859205,78.3245792554752,NA
-25320.2,6859205,78.2066011912268,NA
-25319.2,6859205,78.0880106007813,NA
-25318.2,6859205,77.9688090648012,NA
-25317.2,6859205,77.8489978252804,NA
-25316.2,6859205,77.7285777707819,NA
-25315.2,6859205,77.6075494231706,NA
-25314.2,6859205,77.4859129260438,NA
-25313.2,6859205,77.3636680350773,NA
-25312.2,6859205,77.2408141105072,NA
-25311.2,6859205,77.117350111978,NA
-25310.2,6859205,76.9932745959941,NA
-25309.2,6859205,76.8685857162137,NA
-25308.2,6859205,76.7432812268348,NA
-25307.2,6859205,76.6173584893201,NA
-25306.2,6859205,76.4908144827148,NA
-25305.2,6859205,76.3636458178079,NA
-25304.2,6859205,76.2358487553915,NA
-25303.2,6859205,76.1074192288631,NA
-25302.2,6859205,75.9783528714199,NA
-25301.2,6859205,75.8486450480815,NA
-25300.2,6859205,75.7182908927701,NA
-25299.2,6859205,75.5872853506689,NA
-25298.2,6859205,75.455623226064,NA
-25297.2,6859205,75.3232992358603,NA
-25296.2,6859205,75.1903080689415,NA
-25295.2,6859205,75.0566444515275,NA
-25294.2,6859205,74.9223032186537,NA
-25293.2,6859205,74.787279391872,NA
-25292.2,6859205,74.6515682632432,NA
-25291.2,6859205,74.5151654856563,NA
-25290.2,6859205,74.3780671694743,NA
-25289.2,6859205,74.2402699854666,NA
-25288.2,6859205,74.1017712739446,NA
-25287.2,6859205,73.9625691599718,NA
-25286.2,6859205,73.8226626744704,NA
-25285.2,6859205,73.6820518809944,NA
-25284.2,6859205,73.5407380078853,NA
-25283.2,6859205,73.3987235854673,NA
-25282.2,6859205,73.2560125878822,NA
-25281.2,6859205,73.1126105790999,NA
-25280.2,6859205,72.9685248625804,NA
-25279.2,6859205,72.8237646339958,NA
-25278.2,6859205,72.6783411363606,NA
-25277.2,6859205,72.5322678168473,NA
-25276.2,6859205,72.3855604845104,NA
-25275.2,6859205,72.2382374680691,NA
-25274.2,6859205,72.0903197728467,NA
-25273.2,6859205,71.941831235906,NA
-25272.2,6859205,71.7927986783641,NA
-25271.2,6859205,71.6432520538303,NA
-25270.2,6859205,71.4932245918613,NA
-25269.2,6859205,71.3427529353031,NA
-25268.2,6859205,71.1918772703567,NA
-25267.2,6859205,71.0406414481959,NA
-25266.2,6859205,70.8890930969576,NA
-25265.2,6859205,70.7372837229346,NA
-25264.2,6859205,70.5852687998205,NA
-25263.2,6859205,70.4331078448915,NA
-25262.2,6859205,70.2808644810591,NA
-25261.2,6859205,70.1286064837899,NA
-25260.2,6859205,69.9764058119694,NA
-25259.2,6859205,69.8243386218806,NA
-25258.2,6859205,69.6724852635766,NA
-25257.2,6859205,69.5209302590516,NA
-25256.2,6859205,69.3697622617497,NA
-25255.2,6859205,69.2190739971034,NA
-25254.2,6859205,69.0689621839477,NA
-25253.2,6859205,68.9195274368293,NA
-25252.2,6859205,68.7708741493979,NA
-25251.2,6859205,68.6231103592444,NA
-25250.2,6859205,68.4763475947272,NA
-25249.2,6859205,68.3307007044925,NA
-25248.2,6859205,68.1862876705638,NA
-25247.2,6859205,68.0432294060193,NA
-25246.2,6859205,67.9016495384158,NA
-25245.2,6859205,67.7616741802274,NA
-25244.2,6859205,67.6234316876635,NA
-25243.2,6859205,67.4870524092896,NA
-25242.2,6859205,67.3526684259172,NA
-25241.2,6859205,67.2204132832271,NA
