"long","lat","var1.pred","var1.var"
366151,6721786,115.08519402219,4890.32342261696
366152,6721786,115.105966288657,4886.40757279359
366153,6721786,115.125614651128,4882.45049110813
366154,6721786,115.144099348389,4878.45176919966
366155,6721786,115.161379734161,4874.4109934579
366156,6721786,115.177414260216,4870.32774493132
366157,6721786,115.192160459205,4866.20159923396
366158,6721786,115.205574927174,4862.03212645105
366159,6721786,115.217613305792,4857.81889104319
366160,6721786,115.228230264307,4853.56145174922
366161,6721786,115.23737948122,4849.25936148745
366162,6721786,115.245013625717,4844.91216725524
366163,6721786,115.25108433886,4840.51941002688
366164,6721786,115.255542214571,4836.08062464951
366165,6721786,115.258336780423,4831.59533973699
366166,6721786,115.259416478276,4827.06307756154
366167,6721786,115.25872864479,4822.48335394305
366168,6721786,115.256219491847,4817.85567813568
366169,6721786,115.251834086932,4813.17955271181
366170,6721786,115.245516333524,4808.45447344287
366171,6721786,115.237208951539,4803.67992917698
366172,6721786,115.226853457894,4798.85540171305
366173,6721786,115.21439014727,4793.98036567113
366174,6721786,115.19975807312,4789.05428835869
366175,6721786,115.182895029035,4784.07662963257
366176,6721786,115.163737530539,4779.04684175622
366177,6721786,115.142220797417,4773.96436925193
366178,6721786,115.118278736689,4768.82864874775
366179,6721786,115.09184392634,4763.63910881863
366180,6721786,115.062847599941,4758.39516982152
366181,6721786,115.03121963229,4753.0962437239
366182,6721786,114.996888526245,4747.74173392551
366183,6721786,114.959781400878,4742.33103507269
366184,6721786,114.91982398116,4736.86353286502
366185,6721786,114.876940589334,4731.33860385374
366186,6721786,114.831054138206,4725.75561523161
366187,6721786,114.782086126541,4720.11392461363
366188,6721786,114.729956636814,4714.41287980824
366189,6721786,114.674584335557,4708.65181857861
366190,6721786,114.615886476554,4702.83006839334
366191,6721786,114.553778907165,4696.94694616638
366192,6721786,114.488176078079,4691.0017579856
366193,6721786,114.418991056787,4684.99379882946
366194,6721786,114.346135545113,4678.92235227163
366195,6721786,114.269519901145,4672.78669017289
366196,6721786,114.189053165916,4666.58607236001
366197,6721786,114.104643095212,4660.31974629137
366198,6721786,114.016196196908,4653.98694670876
366199,6721786,113.92361777422,4647.58689527524
366200,6721786,113.826811975323,4641.11880019874
366201,6721786,113.725681849744,4634.58185584117
366202,6721786,113.620129412006,4627.97524231291
366203,6721786,113.51005571298,4621.29812505254
366204,6721786,113.395360919421,4614.54965439179
366205,6721786,113.275944402189,4607.72896510579
366206,6721786,113.151704833646,4600.83517594861
366207,6721786,113.022540294736,4593.8673891744
366208,6721786,112.888348392282,4586.82469004439
366209,6721786,112.749026386993,4579.70614632008
366210,6721786,112.604471332721,4572.51080774323
366211,6721786,112.454580227488,4565.23770550325
366212,6721786,112.29925017679,4557.88585169268
366213,6721786,112.138378569705,4550.45423875181
366214,6721786,111.971863268291,4542.94183890336
366215,6721786,111.799602810777,4535.34760357857
366216,6721786,111.621496629006,4527.67046283611
366217,6721786,111.43744528059,4519.90932477531
366218,6721786,111.247350696192,4512.06307494571
366219,6721786,111.051116442335,4504.13057575492
366220,6721786,110.848648000095,4496.11066587702
366221,6721786,110.639853059987,4488.00215966425
366222,6721786,110.424641833324,4479.80384656471
366223,6721786,110.202927380271,4471.5144905493
366224,6721786,109.974625954737,4463.1328295515
366225,6721786,109.739657366221,4454.65757492368
366226,6721786,109.49794535863,4446.08741091446
366227,6721786,109.249418006022,4437.42099417159
366228,6721786,108.994008125131,4428.65695327565
366229,6721786,108.731653704471,4419.79388831018
366230,6721786,108.462298349678,4410.83037047441
366231,6721786,108.185891744684,4401.76494174543
366232,6721786,107.902390128174,4392.59611459701
366233,6721786,107.611756784697,4383.32237178341
366234,6721786,107.313962549634,4373.94216619672
366235,6721786,107.008986327144,4364.45392080751
366236,6721786,106.69681562003,4354.85602869909
366237,6721786,106.377447070358,4345.14685320683
366238,6721786,106.050887009491,4335.32472817492
366239,6721786,105.717152016061,4325.38795834391
366240,6721786,105.376269480236,4315.33481988375
366241,6721786,105.028278172469,4305.16356108807
366242,6721786,104.673228814772,4294.87240324705
366243,6721786,104.311184652349,4284.45954171743
366244,6721786,103.942222023274,4273.92314721002
366245,6721786,103.566430923709,4263.26136731662
366246,6721786,103.183915565983,4252.47232830019
366247,6721786,102.794794926636,4241.55413717414
366248,6721786,102.399203281406,4230.50488409866
366249,6721786,101.997290723878,4219.32264512449
366250,6721786,101.589223664384,4208.00548531689
366251,6721786,101.17518530552,4196.55146229572
366252,6721786,100.75537609047,4184.95863022998
366253,6721786,100.330014120145,4173.22504432903
366254,6721786,99.8993355349702,4161.34876587589
366255,6721786,99.4635948569434,4149.32786785208
366256,6721786,99.0230652874755,4137.16044120798
366257,6721786,98.5780389563097,4124.84460183693
366258,6721786,98.128827116702,4112.37849831705
366259,6721786,97.6757602818989,4099.76032049024
366260,6721786,97.2191882978388,4086.98830895408
366261,6721786,96.7594803469128,4074.06076554969
366262,6721786,96.2970248775615,4060.97606493631
366263,6721786,95.8322294544571,4047.73266735181
366264,6721786,95.3655205240417,4034.32913266846
366265,6721786,94.8973430902576,4020.76413586353
366266,6721786,94.4281602954358,4007.03648403663
366267,6721786,93.9584529015058,3993.14513511861
366268,6721786,93.4887186669637,3979.08921843196
366269,6721786,93.0194716153974,3964.86805727852
366270,6721786,92.5512411918349,3950.48119374901
366271,6721786,92.084571303736,3935.92841596846
366272,6721786,91.6200192441328,3921.2097880139
366273,6721786,91.1581544952114,3906.32568276514
366274,6721786,90.6995574115308,3891.27681797584
366275,6721786,90.2448177830882,3876.06429588132
